YEAR,MONTH,flight_date,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,cancelled,diverted,distance,is_delayed_15
2025.0,1.0,2025-01-01,1296.0,SFB,PBG,-3.0,-21.0,0,0,1175.0,0
2025.0,1.0,2025-01-01,2865.0,PBG,SFB,-14.0,-23.0,0,0,1175.0,0
2025.0,1.0,2025-01-01,1100.0,PIA,PIE,-12.0,-22.0,0,0,965.0,0
2025.0,1.0,2025-01-01,2687.0,PIE,PIA,-10.0,-15.0,0,0,965.0,0
2025.0,1.0,2025-01-01,1896.0,LAS,SCK,-16.0,-11.0,0,0,359.0,0
2025.0,1.0,2025-01-01,1900.0,SCK,LAS,-11.0,-10.0,0,0,359.0,0
2025.0,1.0,2025-01-01,272.0,BLI,LAS,-14.0,-12.0,0,0,954.0,0
2025.0,1.0,2025-01-01,274.0,LAS,BLI,-18.0,-11.0,0,0,954.0,0
2025.0,1.0,2025-01-01,1029.0,PIE,MDT,104.0,101.0,0,0,912.0,1
2025.0,1.0,2025-01-01,1071.0,EYW,PIE,80.0,82.0,0,0,238.0,1
2025.0,1.0,2025-01-01,2717.0,PIE,EYW,84.0,77.0,0,0,238.0,1
2025.0,1.0,2025-01-01,2721.0,MDT,PIE,91.0,95.0,0,0,912.0,1
2025.0,1.0,2025-01-01,1635.0,LAS,MFE,2.0,1.0,0,0,1210.0,0
2025.0,1.0,2025-01-01,45.0,MFE,LAS,0.0,-10.0,0,0,1210.0,0
2025.0,1.0,2025-01-01,1196.0,BGR,SFB,-9.0,-17.0,0,0,1299.0,0
2025.0,1.0,2025-01-01,1312.0,SFB,BGR,0.0,-19.0,0,0,1299.0,0
2025.0,1.0,2025-01-01,1422.0,SFB,TYS,12.0,8.0,0,0,511.0,0
2025.0,1.0,2025-01-01,2914.0,FWA,SFB,69.0,59.0,0,0,870.0,1
2025.0,1.0,2025-01-01,2949.0,SFB,FWA,28.0,52.0,0,0,870.0,1
2025.0,1.0,2025-01-01,3047.0,TYS,SFB,25.0,17.0,0,0,511.0,1
2025.0,1.0,2025-01-01,1283.0,MDT,SFB,-9.0,-18.0,0,0,827.0,0
2025.0,1.0,2025-01-01,1334.0,SFB,TOL,69.0,65.0,0,0,895.0,1
2025.0,1.0,2025-01-01,2855.0,SFB,MDT,6.0,-10.0,0,0,827.0,0
2025.0,1.0,2025-01-01,2883.0,TOL,SFB,79.0,74.0,0,0,895.0,1
2025.0,1.0,2025-01-01,2898.0,SFB,LEX,23.0,29.0,0,0,667.0,1
2025.0,1.0,2025-01-01,2921.0,LEX,SFB,46.0,54.0,0,0,667.0,1
2025.0,1.0,2025-01-01,1258.0,CID,SFB,30.0,26.0,0,0,1078.0,1
2025.0,1.0,2025-01-01,1317.0,ROA,SFB,36.0,38.0,0,0,594.0,1
2025.0,1.0,2025-01-01,1340.0,LCK,SFB,2.0,-4.0,0,0,767.0,0
2025.0,1.0,2025-01-01,1347.0,SFB,LCK,-5.0,-12.0,0,0,767.0,0
2025.0,1.0,2025-01-01,1350.0,SFB,ROA,37.0,36.0,0,0,594.0,1
2025.0,1.0,2025-01-01,2882.0,SFB,CID,17.0,23.0,0,0,1078.0,1
2025.0,1.0,2025-01-01,2031.0,MCO,SLC,-5.0,-1.0,0,0,1931.0,0
2025.0,1.0,2025-01-01,2049.0,JFK,MCO,-2.0,-12.0,0,0,944.0,0
2025.0,1.0,2025-01-01,2936.0,SLC,MSP,0.0,-8.0,0,0,991.0,0
2025.0,1.0,2025-01-01,2954.0,MSP,BZN,-1.0,-7.0,0,0,874.0,0
2025.0,1.0,2025-01-01,4476.0,RDU,DCA,-8.0,-17.0,0,0,227.0,0
2025.0,1.0,2025-01-01,4522.0,DCA,JFK,-5.0,-29.0,0,0,213.0,0
2025.0,1.0,2025-01-01,4658.0,JFK,RDU,-4.0,2.0,0,0,427.0,0
2025.0,1.0,2025-01-01,4776.0,BOS,DCA,0.0,-15.0,0,0,399.0,0
2025.0,1.0,2025-01-01,164.0,SFO,JFK,-6.0,-40.0,0,0,2586.0,0
2025.0,1.0,2025-01-01,76.0,JFK,SFO,-3.0,-15.0,0,0,2586.0,0
2025.0,1.0,2025-01-01,957.0,DEN,ATL,5.0,2.0,0,0,1199.0,0
2025.0,1.0,2025-01-01,2572.0,SAN,SEA,-8.0,-20.0,0,0,1050.0,0
